"","MSFT.Adjusted","AAPL.Adjusted","AMZN.Adjusted","GOOG.Adjusted","BRK.B.Adjusted","JPM.Adjusted","JNJ.Adjusted","WMT.Adjusted","XOM.Adjusted","V.Adjusted","PG.Adjusted","BAC.Adjusted","MA.Adjusted","T.Adjusted","HD.Adjusted","VZ.Adjusted","DIS.Adjusted","CVX.Adjusted","INTC.Adjusted","KO.Adjusted","UNH.Adjusted","WFC.Adjusted","BA.Adjusted","CSCO.Adjusted","CMCSA.Adjusted","MRK.Adjusted","PFE.Adjusted","PEP.Adjusted","ORCL.Adjusted","C.Adjusted"
"1",22.438957,18.586599,76.699997,231.985458,88.800003,35.134251,46.455219,40.962933,60.627323,12.212651,49.423908,34.540443,21.575676,20.63031,21.939831,19.900644,27.234087,56.800961,15.272862,18.85853,31.124811,22.95505,55.785767,19.479534,8.154499,24.938728,13.361535,50.928371,17.850088,219.033524
"2",22.180336,18.333029,77.370003,231.980484,87.290001,34.847878,46.060291,41.250763,61.672382,12.353387,48.965378,34.067062,21.02594,20.233179,21.694315,19.990166,26.935371,57.305199,15.189436,18.557726,30.875813,22.255249,56.498875,19.46394,8.292162,24.144751,13.442784,50.427082,17.920052,220.687241
"3",22.058626,18.84515,74.940002,226.710236,86.839996,34.878025,46.032085,41.60677,61.470341,12.983747,48.958431,34.126232,21.730728,20.38471,21.738955,20.048094,26.909769,57.442722,15.245055,18.588425,31.038956,22.444782,55.976917,18.894682,8.275966,24.964773,13.336542,50.41296,18.086218,223.811081
"4",22.180336,19.027864,76.870003,234.665421,87.379997,34.342949,46.356499,41.205318,61.825645,12.781558,49.048752,33.314713,21.290939,20.107767,21.419048,19.66367,26.662264,57.658825,15.203349,18.493271,31.339457,22.546843,55.61668,19.019451,8.215232,26.032078,13.34279,50.504742,17.797613,221.238525
"5",22.180336,19.37715,76.900002,237.519714,88.099998,34.320339,46.645653,41.076557,61.951084,12.892564,48.986221,33.390785,21.274956,20.38471,21.203297,19.695263,26.901234,57.802872,15.119925,18.530102,31.485435,22.444782,55.124092,18.668539,8.405529,26.539705,13.424033,50.737755,17.692663,226.016098
"6",21.868471,18.998034,77.300003,233.03154,88.300003,33.807861,46.772602,41.243198,62.431793,13.497151,49.083485,32.444016,21.765808,20.485023,20.965221,19.578064,26.517172,58.464264,14.65416,18.57308,32.696079,21.817871,55.153503,18.684132,8.304305,26.617804,13.124057,50.328228,17.421547,218.298477
"7",21.974964,18.824011,74.389999,231.228302,87.800003,33.38583,46.751442,41.008381,62.494495,13.04123,48.777805,32.063606,21.510046,20.162973,20.585789,19.189165,26.329411,58.903,14.890524,18.655945,32.009182,21.46797,57.785454,18.348814,8.138304,26.643824,13.05531,50.10936,17.683914,216.644684
"8",22.142302,19.210585,74.830002,233.664169,87.580002,33.054241,46.779648,41.402256,62.389992,13.104666,48.756958,31.860731,21.526028,20.168243,21.114012,19.087948,26.756144,58.673805,15.34933,18.82477,31.42532,20.790031,57.66048,18.746523,8.081615,27.144949,13.074057,50.624779,17.885073,217.839111
"9",21.510962,18.28952,71.989998,227.87088,87.080002,32.051895,46.546913,41.508301,61.742069,13.104666,48.631889,31.226732,21.495935,19.693075,20.957777,18.960087,25.757595,58.149937,14.765388,18.505548,30.798552,20.389097,56.506229,18.23185,7.956102,26.773994,12.780333,50.41296,17.35158,214.623474
"10",21.343632,18.369074,72.610001,224.986694,85.720001,31.275669,46.363544,41.773415,62.494495,13.019426,48.715271,30.077072,21.354881,19.640291,20.764341,18.826906,25.638105,58.477367,14.383048,18.723476,31.159149,19.827795,56.770905,18.177261,8.004689,26.943197,12.849075,50.095215,17.369066,206.813904
